Fallacia False,法兰西娅,Fallacia False
Lautrec,罗德雷克,Lautrec
,,
Right Eye of Chopin,肖邦的右眼,Right Eye of Chopin
,,
,,
BASE,基本信息,BaseInformation
ON,机主姓名,Owner's Name
OPN,机主号码,Owner's Phone Number
TFN,目标名字,Target's First Name
TLN,目标姓氏,Target's Last Name
TO,目标职业,Target's Occupation
,,
ALBUM,破解上锁的相册,Decrypt the Locked Album
FP,找到密码,Find the Password
ISA,调查相册中的秘密,Investigete Secrets in the Album
,,
MOM,确认母亲的情况,Determine Mom's Situation
FMN,找到母亲的号码,Find Mom's Number
CH,打给她,Call Her
,,
FCS,调查烛心小姐的罪行,
,,
,,
Note_black,一个大洋国笑话,An Oceanian Joke
Note_government,关于政府,About the Government
Note_fascism,关于法西斯主义,About Fascism
Note_fascism_hint,法西斯的拼写,Spell of fascism
Note_vaccines,关于疫苗,About Vaccines
Note_2plus2,关于2+2=5,About 2 plus 2 equals 5
Note_2plus2_hint,加减乘除,"addition, subtraction, multiplication and division"
Note_page,夹缝之中,In the middle of the pages
Note_page_hint,在桌面上,At home page
Note_color,金钱之色,The Color of Money
Note_color_hint,主题中不存在的颜色,Non-exist color in themes
Note_president,关于他,About Him
Note_president_hint,那个连名字都不能搜索的人,That-man-who-must-not-be-searched
,,
,,
,,
,,
News_wall,至高无上的拿破仑总统建造的大洋国边境墙在大流行中捍卫了大洋国公民的安全,
News_mask,大洋国公民指控欧亚国企业向大洋国出口14万含间谍天线的口罩,
News_mask_c1,欧亚国的那些人真的丧尽天良…,
News_mask_c2,这事还没完！一定要让那帮反人类分子付出代价！,
News_mask_c3,病毒一开始就是从欧亚国传出来的，现在发生这种事一点也不奇怪,
News_war,大洋国对周边国家采取的特别军事行动取得阶段性进展,
News_war_c1,就该让那些蛮夷看看大国的手腕,
News_war_c2,早晚得把那些不服从大洋国的小国全部灭掉,
News_war_c3,Eric Williams: 我赞成把除了大洋民族之外的民族全部屠戮干净，让大洋国来统治这个星球,
News_war2,真理部：欧亚国对东亚国的侵略罪行罄竹难书,
News_war2_c1,这就是一场赤裸裸的侵略战争,
News_war2_c2,Eric Williams: 天哪，这得有多少人流离失所啊… 欧亚国把人命当成什么了？,
News_war2_c3,欧亚国早就该被从地球上抹掉了,
,,
,,
,,
Candleheart's birthday,烛心的生日,Candleheart's birthday
The meeting,会议,The meeting
,,
,,
Favorites,收藏,Favorites
Secret Album,秘密相册,Secret Album
,,
In the library,图书馆,In the library
Me and Miss Candleheart,我和烛心小姐,Me and Miss Candleheart
"Lawbook, lawbook, lawbook...",法典，法典，法典…,"Lawbook, lawbook, lawbook..."
The Court,法庭,The Court
"Me, Miss Candleheart and Jerry Smith",我，烛心小姐和杰瑞·史密斯,"Me, Miss Candleheart and Jerry Smith"
My love's first defend,我爱人的第一次辩护,My love's first defend
Frontdoor,大门,Frontdoor
Hint: Her Birthday,提示：她的生日,Hint: Her Birthday
,,
Three_Ministries_of_Oceania,大洋国三大部门,Three Ministries of Oceania
Ministry_of_Peace,和平部,Ministry of Peace
Great_Wall_of_Oceania,大洋国边境墙,Great Wall of Oceania
Artificial_Intelligence,人工智能,Artificial Intelligence
The_Great_Pandemic,大流行,The Great Pandemic
Common_Flu,大号流感,Common Flu
Ministry_of_Love,仁爱部,Ministry of Love
Napolean,拿破仑,Napolean
,,
Theme Gameboy has been added to your color themes,主题“Gameboy”已被加入到您的颜色主题中,Theme Gameboy has been added to your color themes
